Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
353768;1000013734094465700;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.115, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.115, 0.992);(-0.030, 0.000, 0.000);0.428;2.614;6.114;VALID;(-0.128, 0.114, 0.985);(0.030, 0.000, 0.000);0.436;2.690;6.168;0.8271348;0
353769;1000013734099486000;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.115, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.115, 0.992);(-0.030, 0.000, 0.000);0.427;2.612;6.114;VALID;(-0.129, 0.114, 0.985);(0.030, 0.000, 0.000);0.436;2.687;6.168;0.8193634;0
353770;1000013734104506800;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.115, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.115, 0.992);(-0.030, 0.000, 0.000);0.427;2.612;6.114;VALID;(-0.129, 0.114, 0.985);(0.030, 0.000, 0.000);0.435;2.683;6.168;0.8115742;0
353771;1000013734109527600;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.115, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.115, 0.992);(-0.030, 0.000, 0.000);0.428;2.614;6.114;VALID;(-0.130, 0.114, 0.985);(0.030, 0.000, 0.000);0.435;2.680;6.168;0.8045889;0
353774;1000013734124571300;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.115, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.116, 0.992);(-0.030, 0.000, 0.000);0.428;2.617;6.114;VALID;(-0.130, 0.115, 0.985);(0.030, 0.000, 0.000);0.434;2.675;6.168;0.7964795;0
353775;1000013734129588900;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.094, 0.116, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.116, 0.992);(-0.030, 0.000, 0.000);0.428;2.619;6.114;VALID;(-0.130, 0.115, 0.985);(0.030, 0.000, 0.000);0.432;2.666;6.168;0.7948788;0
353776;1000013734134609200;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.094, 0.116, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.116, 0.992);(-0.030, 0.000, 0.000);0.429;2.620;6.114;VALID;(-0.131, 0.115, 0.985);(0.030, 0.000, 0.000);0.431;2.658;6.168;0.7894254;0
353777;1000013734139626800;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.094, 0.116, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.117, 0.992);(-0.030, 0.000, 0.000);0.429;2.621;6.114;VALID;(-0.131, 0.116, 0.985);(0.030, 0.000, 0.000);0.430;2.650;6.168;0.7878474;0.1237213
353778;1000013734144604100;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.117, 0.992);(-0.030, 0.000, 0.000);0.429;2.620;6.114;VALID;(-0.131, 0.116, 0.985);(0.030, 0.000, 0.000);0.429;2.643;6.168;0.7873957;0.18085
353779;1000013734149621700;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.055, 0.117, 0.992);(-0.030, 0.000, 0.000);0.428;2.619;6.114;VALID;(-0.130, 0.116, 0.985);(0.030, 0.000, 0.000);0.427;2.636;6.168;0.7925676;0.1879868
353780;1000013734154642500;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.054, 0.117, 0.992);(-0.030, 0.000, 0.000);0.429;2.622;6.114;VALID;(-0.130, 0.116, 0.985);(0.030, 0.000, 0.000);0.427;2.633;6.168;0.7923602;0.1991865
353781;1000013734159660100;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.093, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.054, 0.117, 0.992);(-0.030, 0.000, 0.000);0.429;2.623;6.114;VALID;(-0.129, 0.116, 0.985);(0.030, 0.000, 0.000);0.426;2.626;6.168;0.7939399;0.1987846
353782;1000013734164680900;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.092, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.054, 0.117, 0.992);(-0.030, 0.000, 0.000);0.430;2.627;6.114;VALID;(-0.129, 0.116, 0.985);(0.030, 0.000, 0.000);0.425;2.620;6.168;0.7990937;0.1682042
353783;1000013734169698500;63861827909629;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.092, 0.117, 0.989);(0.000, 0.000, 0.000);60.525;VALID;(-0.054, 0.117, 0.992);(-0.030, 0.000, 0.000);0.430;2.629;6.114;VALID;(-0.129, 0.116, 0.985);(0.030, 0.000, 0.000);0.424;2.613;6.168;0.803925;0.2733079
