Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
773521;1000006268556722000;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
773522;1000006268561745500;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
773523;1000006268566767700;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);INVALID;;;;INVALID;;;;;;INVALID;;;;;;;
773524;1000006268571791200;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.146, -0.290, 0.946);(0.000, 0.000, 0.000);62.900;INVALID;;;;;;VALID;(0.139, -0.273, 0.952);(0.031, 0.000, 0.000);0.376;2.187;5.819;2;0
773525;1000006268576814000;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.138, -0.267, 0.954);(0.000, 0.000, 0.000);62.900;VALID;(0.076, -0.182, 0.980);(-0.031, 0.000, 0.000);0.361;2.202;6.099;VALID;(-0.134, -0.281, 0.950);(0.031, 0.000, 0.000);0.376;2.188;5.819;0.2385554;0
773526;1000006268581837500;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.105, -0.232, 0.967);(0.000, 0.000, 0.000);62.900;VALID;(-0.007, -0.147, 0.989);(-0.031, 0.000, 0.000);0.361;2.202;6.099;VALID;(-0.100, -0.268, 0.958);(0.031, 0.000, 0.000);0.383;2.229;5.819;0.2422136;0
773527;1000006268586861000;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.092, -0.220, 0.971);(0.000, 0.000, 0.000);62.900;VALID;(0.066, -0.249, 0.966);(-0.031, 0.000, 0.000);0.370;2.258;6.099;VALID;(-0.046, -0.255, 0.966);(0.031, 0.000, 0.000);0.366;2.132;5.819;0.5582378;0
773528;1000006268591887600;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.058, -0.182, 0.982);(0.000, 0.000, 0.000);62.900;VALID;(0.038, -0.212, 0.977);(-0.031, 0.000, 0.000);0.376;2.290;6.099;VALID;(-0.036, -0.216, 0.976);(0.031, 0.000, 0.000);0.401;2.336;5.819;0.8432081;0
773529;1000006268596914200;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.036, -0.156, 0.987);(0.000, 0.000, 0.000);62.900;VALID;(0.024, -0.179, 0.983);(-0.031, 0.000, 0.000);0.378;2.307;6.099;VALID;(-0.027, -0.182, 0.983);(0.031, 0.000, 0.000);0.407;2.371;5.819;2;0
773530;1000006268601815200;63854218278089;(-0.160, 1.166, -0.534);(0.074, -0.005, -0.040, 0.996);VALID;(0.019, -0.138, 0.990);(0.000, 0.000, 0.000);62.900;VALID;(0.015, -0.155, 0.988);(-0.031, 0.000, 0.000);0.380;2.316;6.099;VALID;(-0.021, -0.156, 0.988);(0.031, 0.000, 0.000);0.409;2.378;5.819;2;0
