Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2384496;1000015546481077700;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.161, -0.111, 0.981);(0.000, 0.000, 0.000);61.400;VALID;(0.014, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.768;6.459;VALID;(-0.335, -0.106, 0.936);(0.031, 0.000, 0.000);0.253;1.666;6.592;0.1689115;0
2384497;1000015546486066900;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, -0.111, 0.980);(0.000, 0.000, 0.000);61.400;VALID;(0.013, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.768;6.459;VALID;(-0.335, -0.106, 0.936);(0.031, 0.000, 0.000);0.253;1.666;6.592;0.1690343;0
2384498;1000015546491097600;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.153, -0.111, 0.982);(0.000, 0.000, 0.000);61.400;VALID;(0.013, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.768;6.459;VALID;(-0.336, -0.106, 0.936);(0.031, 0.000, 0.000);0.253;1.667;6.592;0.1687126;0
2384499;1000015546496120000;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.147, -0.111, 0.983);(0.000, 0.000, 0.000);61.400;VALID;(0.013, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.768;6.459;VALID;(-0.337, -0.106, 0.936);(0.031, 0.000, 0.000);0.253;1.667;6.592;0.1685196;0
2384500;1000015546501166000;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.142, -0.111, 0.984);(0.000, 0.000, 0.000);61.400;VALID;(0.013, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.767;6.459;VALID;(-0.337, -0.106, 0.936);(0.031, 0.000, 0.000);0.253;1.667;6.592;0.1683377;0
2384501;1000015546506188400;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.140, -0.111, 0.984);(0.000, 0.000, 0.000);61.400;VALID;(0.014, -0.112, 0.994);(-0.031, 0.000, 0.000);0.274;1.767;6.459;VALID;(-0.337, -0.105, 0.936);(0.031, 0.000, 0.000);0.253;1.666;6.592;0.1677638;0
2384502;1000015546511161900;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.139, -0.111, 0.984);(0.000, 0.000, 0.000);61.400;VALID;(0.014, -0.112, 0.994);(-0.031, 0.000, 0.000);0.273;1.766;6.459;VALID;(-0.337, -0.105, 0.936);(0.031, 0.000, 0.000);0.253;1.665;6.592;0.1678904;0
2384503;1000015546516180500;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.138, -0.110, 0.984);(0.000, 0.000, 0.000);61.400;VALID;(0.014, -0.111, 0.994);(-0.031, 0.000, 0.000);0.273;1.765;6.459;VALID;(-0.337, -0.105, 0.936);(0.031, 0.000, 0.000);0.252;1.663;6.592;0.167822;0
2384504;1000015546521202900;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.135, -0.111, 0.985);(0.000, 0.000, 0.000);61.400;VALID;(0.014, -0.112, 0.994);(-0.031, 0.000, 0.000);0.273;1.762;6.459;VALID;(-0.336, -0.105, 0.936);(0.031, 0.000, 0.000);0.252;1.661;6.592;0.168243;0
2384505;1000015546526221500;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.133, -0.110, 0.985);(0.000, 0.000, 0.000);61.400;VALID;(0.015, -0.111, 0.994);(-0.031, 0.000, 0.000);0.273;1.761;6.459;VALID;(-0.336, -0.105, 0.936);(0.031, 0.000, 0.000);0.252;1.660;6.592;0.1680399;0
2384506;1000015546531243900;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.132, -0.110, 0.985);(0.000, 0.000, 0.000);61.400;VALID;(0.015, -0.111, 0.994);(-0.031, 0.000, 0.000);0.272;1.759;6.459;VALID;(-0.335, -0.104, 0.936);(0.031, 0.000, 0.000);0.252;1.660;6.592;0.1681084;0
2384507;1000015546536266300;63854832395009;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.131, -0.109, 0.985);(0.000, 0.000, 0.000);61.400;VALID;(0.015, -0.110, 0.994);(-0.031, 0.000, 0.000);0.272;1.758;6.459;VALID;(-0.335, -0.104, 0.937);(0.031, 0.000, 0.000);0.252;1.659;6.592;0.1683506;0
