Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1568779;1000074980757231600;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.006, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.003, 1.000);(-0.034, 0.000, 0.000);0.448;3.009;6.713;VALID;(-0.002, -0.047, 0.999);(0.034, 0.000, 0.000);0.446;2.974;6.675;2;0
1568780;1000074980762198600;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.005, 0.001, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.001, 1.000);(-0.034, 0.000, 0.000);0.448;3.010;6.713;VALID;(-0.002, -0.042, 0.999);(0.034, 0.000, 0.000);0.446;2.975;6.675;2;0
1568781;1000074980767241800;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.005, 0.001, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.001, 1.000);(-0.034, 0.000, 0.000);0.448;3.010;6.713;VALID;(-0.003, -0.036, 0.999);(0.034, 0.000, 0.000);0.446;2.976;6.675;2;0
1568782;1000074980772263600;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.001, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.001, 1.000);(-0.034, 0.000, 0.000);0.449;3.011;6.713;VALID;(-0.003, -0.030, 1.000);(0.034, 0.000, 0.000);0.446;2.977;6.675;2;0
1568783;1000074980777256400;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.000, 1.000);(-0.034, 0.000, 0.000);0.449;3.011;6.713;VALID;(-0.004, -0.025, 1.000);(0.034, 0.000, 0.000);0.446;2.978;6.675;2;0
1568784;1000074980782285500;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.000, 1.000);(-0.034, 0.000, 0.000);0.449;3.012;6.713;VALID;(-0.004, -0.020, 1.000);(0.034, 0.000, 0.000);0.446;2.978;6.675;2;0
1568785;1000074980787312900;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.000, 1.000);(-0.034, 0.000, 0.000);0.449;3.012;6.713;VALID;(-0.004, -0.016, 1.000);(0.034, 0.000, 0.000);0.446;2.979;6.675;2;0
1568786;1000074980792311100;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.000, 1.000);(-0.034, 0.000, 0.000);0.449;3.012;6.713;VALID;(-0.004, -0.013, 1.000);(0.034, 0.000, 0.000);0.446;2.980;6.675;2;0
1568787;1000074980797317100;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.001, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.003, 0.001, 1.000);(-0.034, 0.000, 0.000);0.449;3.012;6.713;VALID;(-0.004, -0.010, 1.000);(0.034, 0.000, 0.000);0.447;2.981;6.675;2;0
1568788;1000074980802349700;63853874933028;(0.192, 3.541, -0.015);(0.227, 0.481, -0.100, 0.841);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.003, 0.000, 1.000);(-0.034, 0.000, 0.000);0.449;3.012;6.713;VALID;(-0.004, -0.008, 1.000);(0.034, 0.000, 0.000);0.447;2.982;6.675;2;0
