Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1681996;1000075548227879800;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.052, 0.005, 0.999);(0.000, 0.000, 0.000);67.200;VALID;(-0.008, -0.018, 1.000);(-0.034, 0.000, 0.000);0.436;2.907;6.675;VALID;(-0.016, -0.028, 0.999);(0.034, 0.000, 0.000);0.460;3.031;6.593;2;0
1681997;1000075548232902500;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.041, 0.004, 0.999);(0.000, 0.000, 0.000);67.200;VALID;(-0.008, -0.007, 1.000);(-0.034, 0.000, 0.000);0.436;2.909;6.675;VALID;(-0.014, -0.016, 1.000);(0.034, 0.000, 0.000);0.460;3.032;6.593;2;0
1681998;1000075548237916000;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.033, 0.004, 0.999);(0.000, 0.000, 0.000);67.200;VALID;(-0.007, -0.001, 1.000);(-0.034, 0.000, 0.000);0.436;2.909;6.675;VALID;(-0.012, -0.008, 1.000);(0.034, 0.000, 0.000);0.460;3.034;6.593;2;0
1681999;1000075548242941200;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.026, 0.004, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.007, 0.001, 1.000);(-0.034, 0.000, 0.000);0.436;2.910;6.675;VALID;(-0.011, -0.004, 1.000);(0.034, 0.000, 0.000);0.460;3.036;6.593;2;0
1682000;1000075548247956800;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.020, 0.004, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.006, 0.002, 1.000);(-0.034, 0.000, 0.000);0.436;2.912;6.675;VALID;(-0.010, -0.002, 1.000);(0.034, 0.000, 0.000);0.461;3.037;6.593;2;0
1682001;1000075548252896800;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.016, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.006, 0.002, 1.000);(-0.034, 0.000, 0.000);0.436;2.913;6.675;VALID;(-0.009, 0.000, 1.000);(0.034, 0.000, 0.000);0.461;3.037;6.593;2;0
1682002;1000075548257912400;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.013, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.005, 0.003, 1.000);(-0.034, 0.000, 0.000);0.436;2.913;6.675;VALID;(-0.008, 0.001, 1.000);(0.034, 0.000, 0.000);0.461;3.038;6.593;2;0
1682003;1000075548262938500;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.011, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.005, 0.003, 1.000);(-0.034, 0.000, 0.000);0.437;2.914;6.675;VALID;(-0.007, 0.002, 1.000);(0.034, 0.000, 0.000);0.461;3.039;6.593;2;0
1682004;1000075548267954100;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.009, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.005, 0.002, 1.000);(-0.034, 0.000, 0.000);0.437;2.915;6.675;VALID;(-0.006, 0.002, 1.000);(0.034, 0.000, 0.000);0.461;3.039;6.593;2;0
1682005;1000075548272970500;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.008, 0.003, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.002, 1.000);(-0.034, 0.000, 0.000);0.437;2.916;6.675;VALID;(-0.006, 0.002, 1.000);(0.034, 0.000, 0.000);0.461;3.039;6.593;2;0
1682006;1000075548277986100;63853875500501;(0.091, 3.640, 0.039);(0.206, -0.032, 0.015, 0.978);VALID;(-0.007, 0.002, 1.000);(0.000, 0.000, 0.000);67.200;VALID;(-0.004, 0.002, 1.000);(-0.034, 0.000, 0.000);0.437;2.917;6.675;VALID;(-0.005, 0.002, 1.000);(0.034, 0.000, 0.000);0.461;3.039;6.593;2;0
