Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1302201;1000008918423699100;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.017, -0.016, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.006, 0.007, 1.000);(-0.034, 0.000, 0.000);0.476;3.042;6.385;VALID;(0.018, -0.017, 1.000);(0.034, 0.000, 0.000);0.472;3.038;6.431;2;0
1302202;1000008918428713300;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.013, -0.013, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.004, 0.003, 1.000);(-0.034, 0.000, 0.000);0.476;3.042;6.385;VALID;(0.014, -0.013, 1.000);(0.034, 0.000, 0.000);0.473;3.039;6.431;2;0
1302203;1000008918433732600;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.010, -0.011, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.003, 0.000, 1.000);(-0.034, 0.000, 0.000);0.476;3.042;6.385;VALID;(0.010, -0.011, 1.000);(0.034, 0.000, 0.000);0.473;3.040;6.431;2;0
1302204;1000008918438731400;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.007, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.002, -0.002, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.008, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.040;6.431;2;0
1302205;1000008918443750700;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.006, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.002, -0.004, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.006, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.041;6.431;2;0
1302206;1000008918448770900;63854220927953;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.004, -0.009, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.001, -0.005, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.004, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.041;6.431;2;0
1302207;1000008918453790200;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.003, -0.009, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.001, -0.006, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.003, -0.009, 1.000);(0.034, 0.000, 0.000);0.473;3.041;6.431;2;0
1302208;1000008918458772800;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.002, -0.009, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.007, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.002, -0.009, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0
1302209;1000008918463780800;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.002, -0.009, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.008, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.002, -0.009, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0
1302210;1000008918468793500;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.001, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.008, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0
1302211;1000008918473801500;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.001, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.009, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0.9265121
1302212;1000008918478846600;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.001, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.009, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;1
1302213;1000008918483859300;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.000, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.009, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;1
1302214;1000008918488879500;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.000, -0.010, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.010, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.000, -0.010, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;1
1302215;1000008918493880900;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.001, -0.011, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.000, -0.010, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.011, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;1
1302216;1000008918498870400;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.001, -0.012, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.001, -0.011, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.001, -0.012, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0.988892
1302217;1000008918503890600;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.002, -0.012, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.002, -0.012, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.002, -0.012, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;1
1302218;1000008918508910800;63854220927954;(-0.639, 1.352, 0.329);(0.096, -0.463, 0.056, 0.879);VALID;(0.002, -0.013, 1.000);(0.000, 0.000, 0.000);67.125;VALID;(0.002, -0.013, 1.000);(-0.034, 0.000, 0.000);0.477;3.043;6.385;VALID;(0.003, -0.013, 1.000);(0.034, 0.000, 0.000);0.473;3.042;6.431;2;0.9820083
