Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
300710;1000075992188798600;63854304172241;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.170, -0.411, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.241, -0.405, 0.882);(-0.032, 0.000, 0.000);0.413;2.624;6.347;VALID;(0.068, -0.416, 0.907);(0.032, 0.000, 0.000);0.381;2.521;6.619;0.3596256;0
300711;1000075992193830600;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.178, -0.407, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.239, -0.401, 0.884);(-0.032, 0.000, 0.000);0.414;2.627;6.347;VALID;(0.067, -0.412, 0.909);(0.032, 0.000, 0.000);0.380;2.517;6.619;0.3614142;0
300712;1000075992198836400;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.175, -0.408, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.237, -0.402, 0.884);(-0.032, 0.000, 0.000);0.414;2.630;6.347;VALID;(0.067, -0.413, 0.908);(0.032, 0.000, 0.000);0.380;2.514;6.619;0.3654394;0
300713;1000075992203873700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.174, -0.408, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.236, -0.403, 0.884);(-0.032, 0.000, 0.000);0.415;2.636;6.347;VALID;(0.067, -0.414, 0.908);(0.032, 0.000, 0.000);0.380;2.513;6.619;0.3689737;0
300714;1000075992208879500;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.173, -0.409, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.235, -0.403, 0.884);(-0.032, 0.000, 0.000);0.417;2.648;6.347;VALID;(0.067, -0.414, 0.908);(0.032, 0.000, 0.000);0.380;2.513;6.619;0.3713529;0
300715;1000075992213885300;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.172, -0.409, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.234, -0.404, 0.884);(-0.032, 0.000, 0.000);0.419;2.657;6.347;VALID;(0.068, -0.414, 0.908);(0.032, 0.000, 0.000);0.380;2.513;6.619;0.3736277;0
300716;1000075992218888300;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.172, -0.409, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.234, -0.404, 0.884);(-0.032, 0.000, 0.000);0.419;2.662;6.347;VALID;(0.068, -0.415, 0.907);(0.032, 0.000, 0.000);0.380;2.513;6.619;0.375236;0
300717;1000075992223891300;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.171, -0.410, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.234, -0.405, 0.884);(-0.032, 0.000, 0.000);0.420;2.666;6.347;VALID;(0.069, -0.416, 0.907);(0.032, 0.000, 0.000);0.379;2.512;6.619;0.3774939;0
300718;1000075992228900900;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.170, -0.411, 0.896);(0.000, 0.000, 0.000);63.875;VALID;(0.233, -0.406, 0.884);(-0.032, 0.000, 0.000);0.421;2.670;6.347;VALID;(0.069, -0.416, 0.907);(0.032, 0.000, 0.000);0.379;2.510;6.619;0.3800483;0
300719;1000075992233949600;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.170, -0.412, 0.895);(0.000, 0.000, 0.000);63.875;VALID;(0.233, -0.407, 0.883);(-0.032, 0.000, 0.000);0.421;2.670;6.347;VALID;(0.069, -0.417, 0.906);(0.032, 0.000, 0.000);0.379;2.507;6.619;0.3819883;0
300720;1000075992238980200;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.169, -0.413, 0.895);(0.000, 0.000, 0.000);63.875;VALID;(0.232, -0.408, 0.883);(-0.032, 0.000, 0.000);0.420;2.668;6.347;VALID;(0.070, -0.418, 0.906);(0.032, 0.000, 0.000);0.378;2.502;6.619;0.383821;0
300721;1000075992243974700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.169, -0.414, 0.895);(0.000, 0.000, 0.000);63.875;VALID;(0.231, -0.408, 0.883);(-0.032, 0.000, 0.000);0.420;2.666;6.347;VALID;(0.069, -0.419, 0.906);(0.032, 0.000, 0.000);0.377;2.496;6.619;0.3856322;0
300722;1000075992248977900;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.168, -0.414, 0.895);(0.000, 0.000, 0.000);63.875;VALID;(0.230, -0.409, 0.883);(-0.032, 0.000, 0.000);0.418;2.655;6.347;VALID;(0.069, -0.419, 0.905);(0.032, 0.000, 0.000);0.377;2.494;6.619;0.3871106;0
300723;1000075992253981000;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.167, -0.415, 0.894);(0.000, 0.000, 0.000);63.875;VALID;(0.229, -0.409, 0.883);(-0.032, 0.000, 0.000);0.418;2.651;6.347;VALID;(0.068, -0.420, 0.905);(0.032, 0.000, 0.000);0.377;2.494;6.619;0.3885881;0
300724;1000075992259025600;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.167, -0.414, 0.895);(0.000, 0.000, 0.000);63.875;VALID;(0.228, -0.409, 0.884);(-0.032, 0.000, 0.000);0.417;2.644;6.347;VALID;(0.069, -0.419, 0.906);(0.032, 0.000, 0.000);0.381;2.522;6.619;0.3925444;0
300726;1000075992269034500;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.163, -0.412, 0.897);(0.000, 0.000, 0.000);63.875;VALID;(0.226, -0.407, 0.885);(-0.032, 0.000, 0.000);0.414;2.629;6.347;VALID;(0.070, -0.416, 0.906);(0.032, 0.000, 0.000);0.397;2.627;6.619;0.3991521;0
300727;1000075992274037600;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.160, -0.410, 0.898);(0.000, 0.000, 0.000);63.875;VALID;(0.224, -0.405, 0.886);(-0.032, 0.000, 0.000);0.410;2.602;6.347;VALID;(0.071, -0.414, 0.907);(0.032, 0.000, 0.000);0.401;2.657;6.619;0.4071256;0
300728;1000075992279040700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.157, -0.407, 0.900);(0.000, 0.000, 0.000);63.875;VALID;(0.223, -0.402, 0.888);(-0.032, 0.000, 0.000);0.409;2.595;6.347;VALID;(0.072, -0.411, 0.909);(0.032, 0.000, 0.000);0.408;2.702;6.619;0.4136832;0
300729;1000075992284040700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.155, -0.404, 0.902);(0.000, 0.000, 0.000);63.875;VALID;(0.221, -0.399, 0.890);(-0.032, 0.000, 0.000);0.406;2.575;6.347;VALID;(0.073, -0.408, 0.910);(0.032, 0.000, 0.000);0.417;2.758;6.619;0.4219795;0
300730;1000075992289043800;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.153, -0.400, 0.904);(0.000, 0.000, 0.000);63.875;VALID;(0.218, -0.395, 0.892);(-0.032, 0.000, 0.000);0.404;2.566;6.347;VALID;(0.074, -0.404, 0.912);(0.032, 0.000, 0.000);0.422;2.793;6.619;0.4325159;0
300731;1000075992294046900;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.146, -0.401, 0.904);(0.000, 0.000, 0.000);63.875;VALID;(0.215, -0.396, 0.893);(-0.032, 0.000, 0.000);0.403;2.561;6.347;VALID;(0.072, -0.404, 0.912);(0.032, 0.000, 0.000);0.394;2.609;6.619;0.4367485;0
300732;1000075992299050000;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.142, -0.403, 0.904);(0.000, 0.000, 0.000);63.875;VALID;(0.212, -0.397, 0.893);(-0.032, 0.000, 0.000);0.404;2.562;6.347;VALID;(0.070, -0.406, 0.911);(0.032, 0.000, 0.000);0.390;2.581;6.619;0.4411956;0
300733;1000075992304077700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.141, -0.400, 0.906);(0.000, 0.000, 0.000);63.875;VALID;(0.210, -0.395, 0.895);(-0.032, 0.000, 0.000);0.404;2.561;6.347;VALID;(0.071, -0.403, 0.913);(0.032, 0.000, 0.000);0.403;2.665;6.619;0.4523892;0
300734;1000075992309080800;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.142, -0.398, 0.906);(0.000, 0.000, 0.000);63.875;VALID;(0.207, -0.393, 0.896);(-0.032, 0.000, 0.000);0.404;2.561;6.347;VALID;(0.073, -0.401, 0.913);(0.032, 0.000, 0.000);0.406;2.686;6.619;0.4670459;0
300735;1000075992314149800;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.136, -0.399, 0.907);(0.000, 0.000, 0.000);63.875;VALID;(0.203, -0.395, 0.896);(-0.032, 0.000, 0.000);0.404;2.565;6.347;VALID;(0.070, -0.402, 0.913);(0.032, 0.000, 0.000);0.388;2.567;6.619;0.4703152;0
300736;1000075992319145100;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.136, -0.398, 0.907);(0.000, 0.000, 0.000);63.875;VALID;(0.200, -0.394, 0.897);(-0.032, 0.000, 0.000);0.405;2.569;6.347;VALID;(0.070, -0.401, 0.913);(0.032, 0.000, 0.000);0.396;2.623;6.619;0.4832214;0
300737;1000075992324216500;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.136, -0.397, 0.908);(0.000, 0.000, 0.000);63.875;VALID;(0.197, -0.393, 0.898);(-0.032, 0.000, 0.000);0.405;2.573;6.347;VALID;(0.071, -0.400, 0.914);(0.032, 0.000, 0.000);0.401;2.652;6.619;0.4968909;0
300738;1000075992329239100;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.132, -0.398, 0.908);(0.000, 0.000, 0.000);63.875;VALID;(0.194, -0.394, 0.898);(-0.032, 0.000, 0.000);0.406;2.578;6.347;VALID;(0.068, -0.401, 0.914);(0.032, 0.000, 0.000);0.387;2.561;6.619;0.495422;0
300739;1000075992334242200;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.129, -0.398, 0.908);(0.000, 0.000, 0.000);63.875;VALID;(0.192, -0.394, 0.899);(-0.032, 0.000, 0.000);0.407;2.581;6.347;VALID;(0.064, -0.400, 0.914);(0.032, 0.000, 0.000);0.383;2.538;6.619;0.4905923;0
300740;1000075992339237500;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.127, -0.396, 0.909);(0.000, 0.000, 0.000);63.875;VALID;(0.189, -0.392, 0.900);(-0.032, 0.000, 0.000);0.407;2.582;6.347;VALID;(0.060, -0.399, 0.915);(0.032, 0.000, 0.000);0.382;2.530;6.619;0.4847627;0
300741;1000075992344240600;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.124, -0.394, 0.911);(0.000, 0.000, 0.000);63.875;VALID;(0.186, -0.391, 0.902);(-0.032, 0.000, 0.000);0.407;2.583;6.347;VALID;(0.055, -0.397, 0.916);(0.032, 0.000, 0.000);0.382;2.529;6.619;0.4818603;0
300742;1000075992349243700;63854304172242;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.122, -0.393, 0.912);(0.000, 0.000, 0.000);63.875;VALID;(0.182, -0.389, 0.903);(-0.032, 0.000, 0.000);0.407;2.583;6.347;VALID;(0.050, -0.395, 0.917);(0.032, 0.000, 0.000);0.382;2.525;6.619;0.4751549;0
