Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2433681;1000015793007878000;63854832641534;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.202, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8740456;1
2433682;1000015793012886300;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.202, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8729807;1
2433683;1000015793017818300;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.796;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8718487;1
2433684;1000015793022826600;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.796;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8709566;1
2433686;1000015793032884300;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.796;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.87044;1
2433687;1000015793037892600;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.796;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8690859;1
2433688;1000015793042886200;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.819;6.592;0.8678395;1
2433689;1000015793047894500;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.820;6.592;0.8667035;1
2433690;1000015793052974500;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.820;6.592;0.8655463;1
2433691;1000015793057990700;63854832641535;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.164, 0.214, 0.963);(0.000, 0.000, 0.000);61.400;VALID;(-0.134, 0.215, 0.967);(-0.031, 0.000, 0.000);0.278;1.797;6.459;VALID;(-0.203, 0.212, 0.956);(0.031, 0.000, 0.000);0.276;1.820;6.592;0.8650246;1
