Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1362034;1000009218320682600;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.054, 0.187, 0.981);(0.000, 0.000, 0.000);63.525;VALID;(0.055, 0.187, 0.981);(-0.032, 0.000, 0.000);0.280;1.924;6.883;VALID;(0.064, 0.171, 0.983);(0.032, 0.000, 0.000);0.292;1.740;5.952;2;0
1362035;1000009218325691600;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.053, 0.188, 0.981);(0.000, 0.000, 0.000);63.525;VALID;(0.054, 0.188, 0.981);(-0.032, 0.000, 0.000);0.279;1.924;6.883;VALID;(0.065, 0.172, 0.983);(0.032, 0.000, 0.000);0.292;1.740;5.952;2;0
1362036;1000009218330664900;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.052, 0.184, 0.982);(0.000, 0.000, 0.000);63.525;VALID;(0.054, 0.184, 0.981);(-0.032, 0.000, 0.000);0.279;1.924;6.883;VALID;(0.063, 0.170, 0.983);(0.032, 0.000, 0.000);0.292;1.741;5.952;2;0
1362037;1000009218335683200;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.050, 0.180, 0.982);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.180, 0.982);(-0.032, 0.000, 0.000);0.280;1.924;6.883;VALID;(0.062, 0.167, 0.984);(0.032, 0.000, 0.000);0.293;1.741;5.952;2;0
1362038;1000009218340699100;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.049, 0.174, 0.984);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.174, 0.983);(-0.032, 0.000, 0.000);0.280;1.925;6.883;VALID;(0.060, 0.163, 0.985);(0.032, 0.000, 0.000);0.293;1.742;5.952;2;0
1362039;1000009218345717400;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.048, 0.162, 0.986);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.162, 0.985);(-0.032, 0.000, 0.000);0.280;1.925;6.883;VALID;(0.058, 0.154, 0.986);(0.032, 0.000, 0.000);0.293;1.743;5.952;2;0
1362040;1000009218350718100;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.048, 0.150, 0.988);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.150, 0.987);(-0.032, 0.000, 0.000);0.280;1.926;6.883;VALID;(0.055, 0.144, 0.988);(0.032, 0.000, 0.000);0.312;1.857;5.952;2;0
1362041;1000009218355705200;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.047, 0.139, 0.989);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.139, 0.989);(-0.032, 0.000, 0.000);0.280;1.926;6.883;VALID;(0.053, 0.136, 0.989);(0.032, 0.000, 0.000);0.316;1.879;5.952;2;0
1362042;1000009218360734500;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.048, 0.127, 0.991);(0.000, 0.000, 0.000);63.525;VALID;(0.053, 0.126, 0.991);(-0.032, 0.000, 0.000);0.280;1.926;6.883;VALID;(0.052, 0.125, 0.991);(0.032, 0.000, 0.000);0.316;1.884;5.952;2;0
1362043;1000009218365752900;63854221227850;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.048, 0.117, 0.992);(0.000, 0.000, 0.000);63.525;VALID;(0.052, 0.117, 0.992);(-0.032, 0.000, 0.000);0.280;1.927;6.883;VALID;(0.052, 0.117, 0.992);(0.032, 0.000, 0.000);0.317;1.885;5.952;2;0
