Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
670270;1000005751038740900;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.114, -0.137, 0.984);(0.000, 0.000, 0.000);63.025;VALID;(-0.111, -0.137, 0.984);(-0.032, 0.000, 0.000);0.336;1.970;5.863;VALID;(-0.122, -0.137, 0.983);(0.032, 0.000, 0.000);0.283;1.867;6.597;2;0
670271;1000005751043728700;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.117, -0.135, 0.984);(0.000, 0.000, 0.000);63.025;VALID;(-0.113, -0.135, 0.984);(-0.032, 0.000, 0.000);0.336;1.970;5.863;VALID;(-0.139, -0.135, 0.981);(0.032, 0.000, 0.000);0.283;1.865;6.597;2;0
670272;1000005751048732100;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.133, -0.135, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.128, -0.135, 0.983);(-0.032, 0.000, 0.000);0.336;1.970;5.863;VALID;(-0.161, -0.134, 0.978);(0.032, 0.000, 0.000);0.282;1.862;6.597;2;0
670273;1000005751053735500;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.129, -0.136, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.123, -0.136, 0.983);(-0.032, 0.000, 0.000);0.336;1.971;5.863;VALID;(-0.153, -0.136, 0.979);(0.032, 0.000, 0.000);0.282;1.859;6.597;2;0
670274;1000005751058773700;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.128, -0.134, 0.983);(0.000, 0.000, 0.000);63.025;VALID;(-0.123, -0.134, 0.983);(-0.032, 0.000, 0.000);0.336;1.971;5.863;VALID;(-0.149, -0.133, 0.980);(0.032, 0.000, 0.000);0.282;1.857;6.597;2;0
670275;1000005751063777100;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.127, -0.131, 0.983);(0.000, 0.000, 0.000);63.025;VALID;(-0.122, -0.131, 0.984);(-0.032, 0.000, 0.000);0.336;1.971;5.863;VALID;(-0.146, -0.131, 0.981);(0.032, 0.000, 0.000);0.281;1.856;6.597;2;0
670276;1000005751068803900;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.127, -0.133, 0.983);(0.000, 0.000, 0.000);63.025;VALID;(-0.123, -0.133, 0.983);(-0.032, 0.000, 0.000);0.336;1.971;5.863;VALID;(-0.145, -0.133, 0.980);(0.032, 0.000, 0.000);0.281;1.856;6.597;2;0
670277;1000005751073807300;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.136, -0.132, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.133, -0.132, 0.982);(-0.032, 0.000, 0.000);0.336;1.971;5.863;VALID;(-0.148, -0.132, 0.980);(0.032, 0.000, 0.000);0.281;1.857;6.597;2;0
670278;1000005751078852900;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.132, -0.134, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.128, -0.134, 0.983);(-0.032, 0.000, 0.000);0.336;1.970;5.863;VALID;(-0.146, -0.134, 0.980);(0.032, 0.000, 0.000);0.281;1.857;6.597;2;0
670279;1000005751083856300;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.132, -0.135, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.128, -0.135, 0.983);(-0.032, 0.000, 0.000);0.336;1.969;5.863;VALID;(-0.145, -0.135, 0.980);(0.032, 0.000, 0.000);0.281;1.857;6.597;2;0
670280;1000005751088868100;63854217760567;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.129, -0.136, 0.982);(0.000, 0.000, 0.000);63.025;VALID;(-0.125, -0.136, 0.983);(-0.032, 0.000, 0.000);0.335;1.967;5.863;VALID;(-0.144, -0.136, 0.980);(0.032, 0.000, 0.000);0.282;1.857;6.597;2;0
