Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
17119;1000078830877385500;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.072, 0.989);(-0.034, 0.000, 0.000);0.301;1.940;6.440;VALID;(-0.258, 0.070, 0.964);(0.034, 0.000, 0.000);0.306;1.975;6.450;0.4986176;0.9049407
17120;1000078830882430800;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.071, 0.989);(-0.034, 0.000, 0.000);0.302;1.942;6.440;VALID;(-0.258, 0.069, 0.964);(0.034, 0.000, 0.000);0.307;1.977;6.450;0.5000536;0.9031064
17121;1000078830887447400;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.071, 0.989);(-0.034, 0.000, 0.000);0.302;1.943;6.440;VALID;(-0.258, 0.069, 0.964);(0.034, 0.000, 0.000);0.307;1.981;6.450;0.5001838;0.8773738
17122;1000078830892464900;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.071, 0.989);(-0.034, 0.000, 0.000);0.302;1.945;6.440;VALID;(-0.258, 0.069, 0.964);(0.034, 0.000, 0.000);0.308;1.983;6.450;0.5005226;0.8662598
17124;1000078830902416300;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.071, 0.989);(-0.034, 0.000, 0.000);0.302;1.947;6.440;VALID;(-0.258, 0.070, 0.964);(0.034, 0.000, 0.000);0.308;1.985;6.450;0.5004709;0.832943
17125;1000078830907432900;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.071, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.072, 0.989);(-0.034, 0.000, 0.000);0.303;1.948;6.440;VALID;(-0.259, 0.070, 0.963);(0.034, 0.000, 0.000);0.308;1.986;6.450;0.5006781;0.8229518
17126;1000078830912464000;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.072, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.072, 0.989);(-0.034, 0.000, 0.000);0.303;1.950;6.440;VALID;(-0.259, 0.070, 0.963);(0.034, 0.000, 0.000);0.308;1.988;6.450;0.5010109;0.8188987
17127;1000078830917480600;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.072, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.073, 0.989);(-0.034, 0.000, 0.000);0.303;1.951;6.440;VALID;(-0.259, 0.071, 0.963);(0.034, 0.000, 0.000);0.309;1.990;6.450;0.5011882;0.8029302
17128;1000078830922501200;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.072, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.073, 0.989);(-0.034, 0.000, 0.000);0.303;1.953;6.440;VALID;(-0.259, 0.071, 0.963);(0.034, 0.000, 0.000);0.309;1.992;6.450;0.5015531;0.8178939
17129;1000078830927521800;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.073, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.073, 0.989);(-0.034, 0.000, 0.000);0.303;1.955;6.440;VALID;(-0.259, 0.071, 0.963);(0.034, 0.000, 0.000);0.309;1.996;6.450;0.5020587;0.8122422
17130;1000078830932538400;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.073, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.073, 0.989);(-0.034, 0.000, 0.000);0.304;1.956;6.440;VALID;(-0.259, 0.072, 0.963);(0.034, 0.000, 0.000);0.310;1.999;6.450;0.5025561;0.8255673
17131;1000078830937559000;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.073, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.074, 0.989);(-0.034, 0.000, 0.000);0.304;1.959;6.440;VALID;(-0.259, 0.072, 0.963);(0.034, 0.000, 0.000);0.311;2.003;6.450;0.5030797;0.848013
17134;1000078830952583600;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.073, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.074, 0.989);(-0.034, 0.000, 0.000);0.304;1.961;6.440;VALID;(-0.259, 0.072, 0.963);(0.034, 0.000, 0.000);0.311;2.008;6.450;0.5040711;0.8484293
17135;1000078830957536400;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.074, 0.989);(-0.034, 0.000, 0.000);0.305;1.963;6.440;VALID;(-0.259, 0.072, 0.963);(0.034, 0.000, 0.000);0.312;2.013;6.450;0.5053361;0.8876011
17136;1000078830962573700;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.074, 0.989);(-0.034, 0.000, 0.000);0.305;1.965;6.440;VALID;(-0.259, 0.072, 0.963);(0.034, 0.000, 0.000);0.313;2.016;6.450;0.5063554;0.8716965
17137;1000078830967595500;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.074, 0.989);(-0.034, 0.000, 0.000);0.305;1.967;6.440;VALID;(-0.259, 0.073, 0.963);(0.034, 0.000, 0.000);0.313;2.018;6.450;0.5076604;0.8688084
17147;1000078831017759400;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.132, 0.075, 0.988);(-0.034, 0.000, 0.000);0.307;1.976;6.440;VALID;(-0.259, 0.073, 0.963);(0.034, 0.000, 0.000);0.314;2.024;6.450;0.5108808;0.8295044
17149;1000078831027788100;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.187, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.133, 0.075, 0.988);(-0.034, 0.000, 0.000);0.308;1.981;6.440;VALID;(-0.259, 0.073, 0.963);(0.034, 0.000, 0.000);0.315;2.030;6.450;0.5128129;0.7724698
17151;1000078831037851500;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.074, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.133, 0.075, 0.988);(-0.034, 0.000, 0.000);0.308;1.987;6.440;VALID;(-0.259, 0.073, 0.963);(0.034, 0.000, 0.000);0.315;2.035;6.450;0.5134509;0.7109802
17152;1000078831042888800;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.075, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.133, 0.075, 0.988);(-0.034, 0.000, 0.000);0.309;1.992;6.440;VALID;(-0.259, 0.074, 0.963);(0.034, 0.000, 0.000);0.316;2.039;6.450;0.5137663;0.6936244
17155;1000078831057808500;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.186, 0.075, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.132, 0.076, 0.988);(-0.034, 0.000, 0.000);0.310;1.995;6.440;VALID;(-0.258, 0.074, 0.963);(0.034, 0.000, 0.000);0.317;2.042;6.450;0.5137584;0.6485935
17156;1000078831062818200;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.132, 0.076, 0.988);(-0.034, 0.000, 0.000);0.310;1.998;6.440;VALID;(-0.258, 0.075, 0.963);(0.034, 0.000, 0.000);0.317;2.045;6.450;0.5143604;0.6652172
17157;1000078831067831300;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.077, 0.988);(-0.034, 0.000, 0.000);0.311;2.000;6.440;VALID;(-0.257, 0.075, 0.963);(0.034, 0.000, 0.000);0.317;2.048;6.450;0.5157093;0.6658987
17158;1000078831072822300;63854307010926;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.077, 0.988);(-0.034, 0.000, 0.000);0.311;2.002;6.440;VALID;(-0.257, 0.075, 0.964);(0.034, 0.000, 0.000);0.318;2.050;6.450;0.5173506;0.7061459
17159;1000078831077840200;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.185, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.077, 0.988);(-0.034, 0.000, 0.000);0.311;2.004;6.440;VALID;(-0.256, 0.075, 0.964);(0.034, 0.000, 0.000);0.318;2.051;6.450;0.5190605;0.7051896
17161;1000078831087869800;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.131, 0.077, 0.988);(-0.034, 0.000, 0.000);0.311;2.005;6.440;VALID;(-0.255, 0.075, 0.964);(0.034, 0.000, 0.000);0.318;2.052;6.450;0.5205957;0.7103379
17162;1000078831092913500;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.184, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.077, 0.988);(-0.034, 0.000, 0.000);0.311;2.006;6.440;VALID;(-0.255, 0.075, 0.964);(0.034, 0.000, 0.000);0.318;2.053;6.450;0.5222368;0.697738
17168;1000078831122960300;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.183, 0.076, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.130, 0.076, 0.989);(-0.034, 0.000, 0.000);0.312;2.008;6.440;VALID;(-0.254, 0.075, 0.964);(0.034, 0.000, 0.000);0.319;2.055;6.450;0.5237574;0.5522413
17171;1000078831138016200;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.182, 0.075, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.076, 0.989);(-0.034, 0.000, 0.000);0.312;2.011;6.440;VALID;(-0.253, 0.074, 0.965);(0.034, 0.000, 0.000);0.319;2.059;6.450;0.5247657;0.5599202
17172;1000078831143037700;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.181, 0.075, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.076, 0.989);(-0.034, 0.000, 0.000);0.313;2.013;6.440;VALID;(-0.252, 0.074, 0.965);(0.034, 0.000, 0.000);0.320;2.062;6.450;0.5247846;0.5490716
17173;1000078831148108600;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.075, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.075, 0.989);(-0.034, 0.000, 0.000);0.313;2.015;6.440;VALID;(-0.251, 0.073, 0.965);(0.034, 0.000, 0.000);0.320;2.064;6.450;0.5243918;0.533849
17174;1000078831153126500;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.074, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.075, 0.989);(-0.034, 0.000, 0.000);0.313;2.016;6.440;VALID;(-0.251, 0.073, 0.965);(0.034, 0.000, 0.000);0.320;2.066;6.450;0.5238324;0.5316449
17176;1000078831163062300;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.074, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.074, 0.989);(-0.034, 0.000, 0.000);0.313;2.017;6.440;VALID;(-0.251, 0.073, 0.965);(0.034, 0.000, 0.000);0.320;2.067;6.450;0.5229326;0.5090284
17177;1000078831168082500;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.074, 0.989);(-0.034, 0.000, 0.000);0.313;2.018;6.440;VALID;(-0.251, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.068;6.450;0.5220594;0.5104659
17178;1000078831173100400;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.074, 0.989);(-0.034, 0.000, 0.000);0.314;2.020;6.440;VALID;(-0.252, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.069;6.450;0.5216449;0.4821102
17179;1000078831178100700;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.180, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.073, 0.989);(-0.034, 0.000, 0.000);0.314;2.021;6.440;VALID;(-0.252, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.070;6.450;0.5213311;0.4778582
17180;1000078831183120800;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.181, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.127, 0.073, 0.989);(-0.034, 0.000, 0.000);0.314;2.022;6.440;VALID;(-0.253, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.070;6.450;0.5193923;0.4869198
17181;1000078831188136500;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.181, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.073, 0.989);(-0.034, 0.000, 0.000);0.314;2.023;6.440;VALID;(-0.253, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.071;6.450;0.5191792;0.515633
17182;1000078831193151400;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.182, 0.073, 0.981);(0.000, 0.000, 0.000);67.600;VALID;(-0.128, 0.073, 0.989);(-0.034, 0.000, 0.000);0.314;2.024;6.440;VALID;(-0.253, 0.072, 0.965);(0.034, 0.000, 0.000);0.321;2.071;6.450;0.5188639;0.5126339
17183;1000078831198137600;63854307010927;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(-0.183, 0.073, 0.980);(0.000, 0.000, 0.000);67.600;VALID;(-0.129, 0.073, 0.989);(-0.034, 0.000, 0.000);0.315;2.026;6.440;VALID;(-0.254, 0.071, 0.965);(0.034, 0.000, 0.000);0.321;2.071;6.450;0.5176355;0.5182256
