Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2411684;1000015682753718000;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.442, 0.138, 0.886);(0.000, 0.000, 0.000);61.400;VALID;(0.452, 0.139, 0.881);(-0.031, 0.000, 0.000);0.338;2.182;6.459;VALID;(0.443, 0.134, 0.886);(0.031, 0.000, 0.000);0.351;2.312;6.592;2;0
2411685;1000015682758728000;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.447, 0.138, 0.884);(0.000, 0.000, 0.000);61.400;VALID;(0.456, 0.143, 0.878);(-0.031, 0.000, 0.000);0.337;2.178;6.459;VALID;(0.449, 0.136, 0.883);(0.031, 0.000, 0.000);0.349;2.303;6.592;2;0
2411686;1000015682763709600;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.451, 0.139, 0.882);(0.000, 0.000, 0.000);61.400;VALID;(0.450, 0.150, 0.880);(-0.031, 0.000, 0.000);0.327;2.112;6.459;VALID;(0.452, 0.138, 0.881);(0.031, 0.000, 0.000);0.347;2.289;6.592;2;0
2411687;1000015682768713100;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.453, 0.140, 0.881);(0.000, 0.000, 0.000);61.400;VALID;(0.447, 0.154, 0.881);(-0.031, 0.000, 0.000);0.325;2.098;6.459;VALID;(0.454, 0.140, 0.880);(0.031, 0.000, 0.000);0.344;2.267;6.592;2;0
2411688;1000015682773725700;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.454, 0.142, 0.880);(0.000, 0.000, 0.000);61.400;VALID;(0.443, 0.156, 0.883);(-0.031, 0.000, 0.000);0.325;2.096;6.459;VALID;(0.455, 0.143, 0.879);(0.031, 0.000, 0.000);0.343;2.258;6.592;2;0
2411689;1000015682778743500;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.448, 0.157, 0.880);(0.000, 0.000, 0.000);61.400;VALID;(0.440, 0.158, 0.884);(-0.031, 0.000, 0.000);0.324;2.096;6.459;VALID;(0.448, 0.160, 0.880);(0.031, 0.000, 0.000);0.341;2.249;6.592;2;0
2411690;1000015682783760900;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.448, 0.159, 0.880);(0.000, 0.000, 0.000);61.400;VALID;(0.437, 0.161, 0.885);(-0.031, 0.000, 0.000);0.325;2.097;6.459;VALID;(0.448, 0.161, 0.879);(0.031, 0.000, 0.000);0.341;2.245;6.592;2;0
2411691;1000015682788824700;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.448, 0.160, 0.880);(0.000, 0.000, 0.000);61.400;VALID;(0.434, 0.164, 0.886);(-0.031, 0.000, 0.000);0.325;2.098;6.459;VALID;(0.448, 0.162, 0.879);(0.031, 0.000, 0.000);0.340;2.242;6.592;2;0
2411692;1000015682793829900;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.447, 0.160, 0.880);(0.000, 0.000, 0.000);61.400;VALID;(0.431, 0.166, 0.887);(-0.031, 0.000, 0.000);0.325;2.099;6.459;VALID;(0.447, 0.162, 0.880);(0.031, 0.000, 0.000);0.339;2.238;6.592;2;0
2411693;1000015682798822500;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.446, 0.160, 0.881);(0.000, 0.000, 0.000);61.400;VALID;(0.429, 0.168, 0.888);(-0.031, 0.000, 0.000);0.325;2.099;6.459;VALID;(0.445, 0.162, 0.881);(0.031, 0.000, 0.000);0.339;2.233;6.592;2;0
2411694;1000015682803827700;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.445, 0.159, 0.881);(0.000, 0.000, 0.000);61.400;VALID;(0.431, 0.167, 0.887);(-0.031, 0.000, 0.000);0.325;2.099;6.459;VALID;(0.444, 0.161, 0.881);(0.031, 0.000, 0.000);0.339;2.233;6.592;2;0
2411695;1000015682808839700;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.444, 0.159, 0.882);(0.000, 0.000, 0.000);61.400;VALID;(0.433, 0.166, 0.886);(-0.031, 0.000, 0.000);0.325;2.101;6.459;VALID;(0.442, 0.160, 0.883);(0.031, 0.000, 0.000);0.338;2.230;6.592;2;0
2411696;1000015682813844900;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.443, 0.159, 0.883);(0.000, 0.000, 0.000);61.400;VALID;(0.434, 0.165, 0.886);(-0.031, 0.000, 0.000);0.325;2.101;6.459;VALID;(0.440, 0.160, 0.883);(0.031, 0.000, 0.000);0.338;2.229;6.592;2;0
2411697;1000015682818843400;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.441, 0.158, 0.883);(0.000, 0.000, 0.000);61.400;VALID;(0.434, 0.164, 0.886);(-0.031, 0.000, 0.000);0.325;2.101;6.459;VALID;(0.438, 0.159, 0.885);(0.031, 0.000, 0.000);0.338;2.229;6.592;2;0
2411698;1000015682823848600;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.440, 0.158, 0.884);(0.000, 0.000, 0.000);61.400;VALID;(0.433, 0.164, 0.886);(-0.031, 0.000, 0.000);0.356;2.302;6.459;VALID;(0.437, 0.159, 0.885);(0.031, 0.000, 0.000);0.338;2.229;6.592;2;0
2411699;1000015682828858300;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.439, 0.157, 0.884);(0.000, 0.000, 0.000);61.400;VALID;(0.432, 0.163, 0.887);(-0.031, 0.000, 0.000);0.361;2.330;6.459;VALID;(0.436, 0.158, 0.886);(0.031, 0.000, 0.000);0.339;2.232;6.592;2;0
2411700;1000015682833906000;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.437, 0.156, 0.886);(0.000, 0.000, 0.000);61.400;VALID;(0.430, 0.162, 0.888);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.432, 0.157, 0.888);(0.031, 0.000, 0.000);0.339;2.236;6.592;2;0
2411701;1000015682838915700;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.433, 0.157, 0.888);(0.000, 0.000, 0.000);61.400;VALID;(0.429, 0.162, 0.889);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.428, 0.157, 0.890);(0.031, 0.000, 0.000);0.340;2.240;6.592;2;0
2411702;1000015682843925400;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.428, 0.157, 0.890);(0.000, 0.000, 0.000);61.400;VALID;(0.428, 0.162, 0.889);(-0.031, 0.000, 0.000);0.362;2.336;6.459;VALID;(0.423, 0.158, 0.892);(0.031, 0.000, 0.000);0.340;2.241;6.592;2;0
2411703;1000015682848963500;63854832531285;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.423, 0.157, 0.892);(0.000, 0.000, 0.000);61.400;VALID;(0.427, 0.161, 0.890);(-0.031, 0.000, 0.000);0.362;2.336;6.459;VALID;(0.418, 0.158, 0.895);(0.031, 0.000, 0.000);0.340;2.243;6.592;2;0
2411704;1000015682853987500;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.418, 0.157, 0.895);(0.000, 0.000, 0.000);61.400;VALID;(0.425, 0.160, 0.891);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.411, 0.158, 0.898);(0.031, 0.000, 0.000);0.340;2.243;6.592;2;0
2411705;1000015682858997200;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.412, 0.157, 0.898);(0.000, 0.000, 0.000);61.400;VALID;(0.422, 0.159, 0.892);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.404, 0.158, 0.901);(0.031, 0.000, 0.000);0.340;2.244;6.592;2;0
2411706;1000015682864009200;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.408, 0.158, 0.899);(0.000, 0.000, 0.000);61.400;VALID;(0.421, 0.158, 0.893);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.399, 0.159, 0.903);(0.031, 0.000, 0.000);0.341;2.249;6.592;2;0
2411707;1000015682869021200;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.404, 0.158, 0.901);(0.000, 0.000, 0.000);61.400;VALID;(0.418, 0.159, 0.895);(-0.031, 0.000, 0.000);0.362;2.337;6.459;VALID;(0.395, 0.159, 0.905);(0.031, 0.000, 0.000);0.342;2.254;6.592;2;0
2411708;1000015682873992200;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.401, 0.158, 0.902);(0.000, 0.000, 0.000);61.400;VALID;(0.415, 0.159, 0.896);(-0.031, 0.000, 0.000);0.361;2.331;6.459;VALID;(0.392, 0.159, 0.906);(0.031, 0.000, 0.000);0.343;2.259;6.592;2;0
2411709;1000015682878982300;63854832531286;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.398, 0.159, 0.904);(0.000, 0.000, 0.000);61.400;VALID;(0.412, 0.159, 0.897);(-0.031, 0.000, 0.000);0.361;2.331;6.459;VALID;(0.388, 0.160, 0.908);(0.031, 0.000, 0.000);0.343;2.261;6.592;2;0
