Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1564912;1000007991728162400;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.095, 0.045, 0.994);(0.000, 0.000, 0.000);63.750;VALID;(0.124, 0.045, 0.991);(-0.032, 0.000, 0.000);0.411;2.626;6.386;VALID;(0.061, 0.045, 0.997);(0.032, 0.000, 0.000);0.411;2.536;6.173;0.9961836;0.3884812
1564913;1000007991733148700;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.095, 0.043, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.124, 0.043, 0.991);(-0.032, 0.000, 0.000);0.411;2.623;6.386;VALID;(0.060, 0.043, 0.997);(0.032, 0.000, 0.000);0.411;2.536;6.173;0.9832674;0.3257207
1564914;1000007991738139100;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.041, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.041, 0.991);(-0.032, 0.000, 0.000);0.410;2.620;6.386;VALID;(0.060, 0.041, 0.997);(0.032, 0.000, 0.000);0.411;2.537;6.173;0.9753684;0.2792783
1564915;1000007991743145900;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.040, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.040, 0.991);(-0.032, 0.000, 0.000);0.410;2.617;6.386;VALID;(0.060, 0.040, 0.997);(0.032, 0.000, 0.000);0.411;2.537;6.173;0.9674975;0.3013271
1564916;1000007991748150900;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.039, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.039, 0.991);(-0.032, 0.000, 0.000);0.409;2.614;6.386;VALID;(0.059, 0.039, 0.997);(0.032, 0.000, 0.000);0.411;2.537;6.173;0.9623611;0.3732194
1564917;1000007991753157700;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.036, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.036, 0.992);(-0.032, 0.000, 0.000);0.409;2.611;6.386;VALID;(0.060, 0.036, 0.998);(0.032, 0.000, 0.000);0.411;2.536;6.173;0.9702828;0.3123195
1564918;1000007991758164500;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.036, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.036, 0.992);(-0.032, 0.000, 0.000);0.408;2.608;6.386;VALID;(0.060, 0.036, 0.998);(0.032, 0.000, 0.000);0.411;2.536;6.173;0.9651326;0.1961117
1564919;1000007991763171300;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.035, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.035, 0.992);(-0.032, 0.000, 0.000);0.408;2.606;6.386;VALID;(0.059, 0.035, 0.998);(0.032, 0.000, 0.000);0.411;2.535;6.173;0.9603873;0.1685091
1564920;1000007991768206300;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.096, 0.035, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.035, 0.992);(-0.032, 0.000, 0.000);0.408;2.603;6.386;VALID;(0.059, 0.035, 0.998);(0.032, 0.000, 0.000);0.411;2.534;6.173;0.9565124;0.2137371
1564921;1000007991773217100;63853789230255;(0.000, 0.000, 0.000);(0.000, 0.000, 0.000, 1.000);VALID;(0.097, 0.034, 0.995);(0.000, 0.000, 0.000);63.750;VALID;(0.125, 0.034, 0.992);(-0.032, 0.000, 0.000);0.407;2.599;6.386;VALID;(0.059, 0.034, 0.998);(0.032, 0.000, 0.000);0.410;2.533;6.173;0.9554781;0.1854818
