Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
1553673;1000007935395562400;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.014, -0.001, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.005, -0.002, 1.000);(-0.032, 0.000, 0.000);0.367;2.342;6.386;VALID;(-0.018, -0.001, 1.000);(0.032, 0.000, 0.000);0.392;2.422;6.173;2;0
1553674;1000007935400562500;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.013, -0.001, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.005, -0.002, 1.000);(-0.032, 0.000, 0.000);0.367;2.341;6.386;VALID;(-0.016, -0.001, 1.000);(0.032, 0.000, 0.000);0.392;2.421;6.173;2;0
1553675;1000007935405564900;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.012, -0.002, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.004, -0.002, 1.000);(-0.032, 0.000, 0.000);0.366;2.340;6.386;VALID;(-0.015, -0.002, 1.000);(0.032, 0.000, 0.000);0.392;2.420;6.173;2;0
1553676;1000007935410572500;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.011, -0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.003, -0.005, 1.000);(-0.032, 0.000, 0.000);0.366;2.338;6.386;VALID;(-0.014, -0.005, 1.000);(0.032, 0.000, 0.000);0.392;2.418;6.173;2;0
1553677;1000007935415576500;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.010, -0.004, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.003, -0.004, 1.000);(-0.032, 0.000, 0.000);0.366;2.337;6.386;VALID;(-0.012, -0.004, 1.000);(0.032, 0.000, 0.000);0.391;2.415;6.173;2;0
1553678;1000007935420590000;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.008, -0.003, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.003, -0.003, 1.000);(-0.032, 0.000, 0.000);0.366;2.335;6.386;VALID;(-0.010, -0.003, 1.000);(0.032, 0.000, 0.000);0.391;2.413;6.173;2;0
1553679;1000007935425617300;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.007, -0.002, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.004, -0.003, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(-0.009, -0.002, 1.000);(0.032, 0.000, 0.000);0.391;2.412;6.173;2;0
1553680;1000007935430662700;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.005, -0.001, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.004, -0.002, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(-0.007, -0.001, 1.000);(0.032, 0.000, 0.000);0.391;2.411;6.173;2;0
1553681;1000007935435648200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.005, -0.001, 1.000);(-0.032, 0.000, 0.000);0.365;2.331;6.386;VALID;(-0.005, 0.000, 1.000);(0.032, 0.000, 0.000);0.391;2.411;6.173;2;0
1553682;1000007935440652000;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.003, 0.001, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.005, 0.000, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(-0.004, 0.001, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;0
1553683;1000007935445656000;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(-0.001, 0.001, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.006, 0.001, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(-0.003, 0.001, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;0.5456141
1553684;1000007935450659800;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.000, 0.002, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.006, 0.001, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(-0.002, 0.002, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;0.613344
1553685;1000007935455708500;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.001, 0.003, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.006, 0.002, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(-0.002, 0.003, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;0.6275123
1553686;1000007935460712300;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.001, 0.003, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.007, 0.002, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(-0.001, 0.003, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6258951
1553687;1000007935465716100;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.002, 0.003, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.007, 0.003, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(0.000, 0.003, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6249191
1553688;1000007935470731100;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.003, 0.004, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.007, 0.003, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(0.000, 0.004, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6157547
1553689;1000007935475734200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.003, 0.004, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.007, 0.003, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.001, 0.004, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6180278
1553690;1000007935480736500;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.004, 0.004, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.004, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.001, 0.004, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6131299
1553691;1000007935485760400;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.004, 0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.004, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.001, 0.005, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6322564
1553692;1000007935490772000;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.005, 0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.004, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.002, 0.005, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6297335
1553693;1000007935495780200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.005, 0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.004, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.002, 0.005, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6379803
1553694;1000007935500898200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.005, 0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.004, 1.000);(-0.032, 0.000, 0.000);0.365;2.328;6.386;VALID;(0.002, 0.005, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.6823476
1553695;1000007935505902200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.005, 0.005, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(0.002, 0.005, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.8294909
1553696;1000007935510906200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(0.002, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.409;6.173;2;0.9975253
1553697;1000007935515910200;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.329;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553698;1000007935520871900;63853789173923;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.008, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553699;1000007935525880100;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.330;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553700;1000007935530861700;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.331;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553701;1000007935535869900;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.006, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.005, 1.000);(-0.032, 0.000, 0.000);0.365;2.331;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553702;1000007935540880500;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.006, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.006, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.006, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553703;1000007935545891100;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.006, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553704;1000007935550899300;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.006, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553705;1000007935555960600;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.006, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553706;1000007935560971200;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.007, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553707;1000007935565981800;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.009, 0.007, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553708;1000007935570990000;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.007, 1.000);(-0.032, 0.000, 0.000);0.365;2.332;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553709;1000007935575998200;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.007, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.007, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(0.003, 0.007, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553710;1000007935581006400;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.007, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553711;1000007935586006600;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553712;1000007935591017200;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553713;1000007935596095900;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.365;2.333;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553714;1000007935601125400;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.365;2.334;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553715;1000007935606137000;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.365;2.334;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
1553716;1000007935611155400;63853789173924;(-1.264, 3.434, 0.050);(0.083, 0.273, -0.035, 0.958);VALID;(0.007, 0.008, 1.000);(0.000, 0.000, 0.000);63.750;VALID;(0.010, 0.008, 1.000);(-0.032, 0.000, 0.000);0.366;2.334;6.386;VALID;(0.004, 0.008, 1.000);(0.032, 0.000, 0.000);0.390;2.410;6.173;2;1
