Frame;CaptureTime;LogTime;HMDPosition;HMDRotation;GazeStatus;CombinedGazeForward;CombinedGazePosition;InterPupillaryDistanceInMM;LeftEyeStatus;LeftEyeForward;LeftEyePosition;LeftPupilIrisDiameterRatio;LeftPupilDiameterInMM;LeftIrisDiameterInMM;RightEyeStatus;RightEyeForward;RightEyePosition;RightPupilIrisDiameterRatio;RightPupilDiameterInMM;RightIrisDiameterInMM;FocusDistance;FocusStability
2297018;1000015108081320200;63854831956610;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.003, -0.003, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.002, -0.003, 1.000);(-0.031, 0.000, 0.000);0.312;2.053;6.578;VALID;(0.014, 0.014, 1.000);(0.031, 0.000, 0.000);0.322;2.164;6.712;2;0
2297020;1000015108091358100;63854831956610;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.002, -0.002, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.001, -0.002, 1.000);(-0.031, 0.000, 0.000);0.312;2.052;6.578;VALID;(0.009, 0.007, 1.000);(0.031, 0.000, 0.000);0.322;2.162;6.712;2;0
2297021;1000015108096329600;63854831956610;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.001, -0.002, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.001, -0.002, 1.000);(-0.031, 0.000, 0.000);0.312;2.051;6.578;VALID;(0.005, 0.004, 1.000);(0.031, 0.000, 0.000);0.322;2.160;6.712;2;0
2297022;1000015108101345800;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.001, -0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.001, -0.001, 1.000);(-0.031, 0.000, 0.000);0.312;2.050;6.578;VALID;(0.003, 0.002, 1.000);(0.031, 0.000, 0.000);0.322;2.159;6.712;2;0
2297023;1000015108106352900;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.002, -0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.001, -0.001, 1.000);(-0.031, 0.000, 0.000);0.312;2.050;6.578;VALID;(0.001, 0.001, 1.000);(0.031, 0.000, 0.000);0.322;2.158;6.712;2;0
2297024;1000015108111369100;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.002, -0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.001, -0.001, 1.000);(-0.031, 0.000, 0.000);0.311;2.049;6.578;VALID;(-0.001, 0.001, 1.000);(0.031, 0.000, 0.000);0.321;2.157;6.712;2;0
2297027;1000015108126426700;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.003, -0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.002, -0.001, 1.000);(-0.031, 0.000, 0.000);0.311;2.049;6.578;VALID;(-0.002, 0.000, 1.000);(0.031, 0.000, 0.000);0.321;2.156;6.712;2;0
2297028;1000015108131440900;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.004, 0.000, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.003, 0.000, 1.000);(-0.031, 0.000, 0.000);0.311;2.048;6.578;VALID;(-0.004, 0.001, 1.000);(0.031, 0.000, 0.000);0.321;2.155;6.712;2;0
2297030;1000015108141469300;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.004, 0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.002, 0.001, 1.000);(-0.031, 0.000, 0.000);0.311;2.048;6.578;VALID;(-0.005, 0.002, 1.000);(0.031, 0.000, 0.000);0.321;2.155;6.712;2;0
2297031;1000015108146472000;63854831956611;(-0.120, 1.459, 0.430);(0.050, -0.615, -0.015, 0.787);VALID;(-0.005, 0.001, 1.000);(0.000, 0.000, 0.000);62.350;VALID;(-0.003, 0.001, 1.000);(-0.031, 0.000, 0.000);0.311;2.047;6.578;VALID;(-0.006, 0.002, 1.000);(0.031, 0.000, 0.000);0.321;2.154;6.712;2;0
